Start Coordinates,End Coordinates
"23.7642, 90.4206","23.750942, 90.367135"
"23.7642, 90.4206","23.751634, 90.367504"
"23.7642, 90.4206","23.733664, 90.416993"
"23.7642, 90.4206","23.7361, 90.4115"
"23.7642, 90.4206","23.7604, 90.3919"
"23.7642, 90.4206","23.7381, 90.3947"
"23.7642, 90.4206","23.765, 90.3587"
"23.7642, 90.4206","23.7277, 90.3975"
"23.7642, 90.4206","23.7181, 90.3884"
"23.7642, 90.4206","23.7111, 90.4025"
"23.7642, 90.4206","23.7041, 90.4074"
"23.7642, 90.4206","23.7764, 90.3651"
"23.7642, 90.4206","23.7831, 90.3612"
"23.7642, 90.4206","23.7644, 90.3958"
"23.7642, 90.4206","23.8191, 90.4527"
"23.7642, 90.4206","23.8216, 90.4296"
"23.7642, 90.4206","23.8493, 90.3978"
"23.7642, 90.4206","23.7113, 90.4457"
"23.7642, 90.4206","23.6851, 90.3467"
"23.7642, 90.4206","23.8038, 90.3421"
"23.7642, 90.4206","23.838, 90.2625"
"23.7642, 90.4206","23.7778, 90.3982"
"23.7642, 90.4206","23.8327, 90.3662"
"23.7642, 90.4206","23.6238, 90.499"
"23.7642, 90.4206","23.7256, 90.4756"
"23.7642, 90.4206","23.8997, 90.4054"
"23.7642, 90.4206","23.7655, 90.4255"
"23.7642, 90.4206","23.7391, 90.4092"
"23.7642, 90.4206","23.7385, 90.4053"
"23.7642, 90.4206","23.7271, 90.3841"
"23.7642, 90.4206","23.7363, 90.3791"
"23.7642, 90.4206","23.7664, 90.4071"
"23.7642, 90.4206","23.7689, 90.4283"
"23.7642, 90.4206","23.7451, 90.3676"
"23.7642, 90.4206","23.7304, 90.4226"
"23.7642, 90.4206","23.7527, 90.4271"
"23.7642, 90.4206","23.7409, 90.4116"
"23.7642, 90.4206","23.7163, 90.4162"
"23.7642, 90.4206","23.8288, 90.4269"
"23.7642, 90.4206","23.8712, 90.379"
"23.7642, 90.4206","23.7045, 90.4042"
"23.7642, 90.4206","23.7681, 90.3526"
"23.7642, 90.4206","23.7786, 90.4265"
"23.7642, 90.4206","23.8125, 90.4341"
"23.7391, 90.4092","23.7806365, 90.4193257"
"23.7391, 90.4092","23.7915995, 90.4167872"
"23.7391, 90.4092","23.793584, 90.404194"
"23.7391, 90.4092","23.810331, 90.426283"
"23.7391, 90.4092","23.875854, 90.379249"
"23.7391, 90.4092","23.803072, 90.353491"
"23.7391, 90.4092","23.824086, 90.365407"
"23.7391, 90.4092","23.750942, 90.367135"
"23.7391, 90.4092","23.751634, 90.367504"
"23.7391, 90.4092","23.733664, 90.416993"
"23.7391, 90.4092","23.7361, 90.4115"
"23.7391, 90.4092","23.7604, 90.3919"
"23.7391, 90.4092","23.7381, 90.3947"
"23.7391, 90.4092","23.765, 90.3587"
"23.7391, 90.4092","23.7277, 90.3975"
"23.7391, 90.4092","23.7181, 90.3884"
"23.7391, 90.4092","23.7111, 90.4025"
"23.7391, 90.4092","23.7041, 90.4074"
"23.7391, 90.4092","23.7764, 90.3651"
"23.7391, 90.4092","23.7831, 90.3612"
"23.7391, 90.4092","23.7644, 90.3958"
"23.7391, 90.4092","23.8191, 90.4527"
"23.7391, 90.4092","23.8216, 90.4296"
"23.7391, 90.4092","23.8493, 90.3978"
"23.7391, 90.4092","23.7113, 90.4457"
"23.7391, 90.4092","23.6851, 90.3467"
"23.7391, 90.4092","23.8038, 90.3421"
"23.7391, 90.4092","23.838, 90.2625"
"23.7391, 90.4092","23.7778, 90.3982"
"23.7391, 90.4092","23.8327, 90.3662"
"23.7391, 90.4092","23.6238, 90.499"
"23.7391, 90.4092","23.7256, 90.4756"
"23.7391, 90.4092","23.8997, 90.4054"
"23.7391, 90.4092","23.7655, 90.4255"
"23.7391, 90.4092","23.7642, 90.4206"
"23.7391, 90.4092","23.7385, 90.4053"
"23.7391, 90.4092","23.7271, 90.3841"
"23.7391, 90.4092","23.7363, 90.3791"
"23.7391, 90.4092","23.7664, 90.4071"
"23.7391, 90.4092","23.7689, 90.4283"
"23.7391, 90.4092","23.7451, 90.3676"
"23.7391, 90.4092","23.7304, 90.4226"
"23.7391, 90.4092","23.7527, 90.4271"
"23.7391, 90.4092","23.7409, 90.4116"
"23.7391, 90.4092","23.7163, 90.4162"
"23.7391, 90.4092","23.8288, 90.4269"
"23.7391, 90.4092","23.8712, 90.379"
"23.7391, 90.4092","23.7045, 90.4042"
"23.7391, 90.4092","23.7681, 90.3526"
"23.7391, 90.4092","23.7786, 90.4265"
"23.7391, 90.4092","23.8125, 90.4341"
"23.7385, 90.4053","23.7806365, 90.4193257"
"23.7385, 90.4053","23.7915995, 90.4167872"
"23.7385, 90.4053","23.793584, 90.404194"
"23.7385, 90.4053","23.810331, 90.426283"
"23.7385, 90.4053","23.875854, 90.379249"
"23.7385, 90.4053","23.803072, 90.353491"
"23.7385, 90.4053","23.824086, 90.365407"
"23.7385, 90.4053","23.750942, 90.367135"
"23.7385, 90.4053","23.751634, 90.367504"
"23.7385, 90.4053","23.733664, 90.416993"
"23.7385, 90.4053","23.7361, 90.4115"
"23.7385, 90.4053","23.7604, 90.3919"
"23.7385, 90.4053","23.7381, 90.3947"
"23.7385, 90.4053","23.765, 90.3587"
"23.7385, 90.4053","23.7277, 90.3975"
"23.7385, 90.4053","23.7181, 90.3884"
"23.7385, 90.4053","23.7111, 90.4025"
"23.7385, 90.4053","23.7041, 90.4074"
"23.7385, 90.4053","23.7764, 90.3651"
"23.7385, 90.4053","23.7831, 90.3612"
"23.7385, 90.4053","23.7644, 90.3958"
"23.7385, 90.4053","23.8191, 90.4527"
"23.7385, 90.4053","23.8216, 90.4296"
"23.7385, 90.4053","23.8493, 90.3978"
"23.7385, 90.4053","23.7113, 90.4457"
"23.7385, 90.4053","23.6851, 90.3467"
"23.7385, 90.4053","23.8038, 90.3421"
"23.7385, 90.4053","23.838, 90.2625"
"23.7385, 90.4053","23.7778, 90.3982"
"23.7385, 90.4053","23.8327, 90.3662"
"23.7385, 90.4053","23.6238, 90.499"
"23.7385, 90.4053","23.7256, 90.4756"
"23.7385, 90.4053","23.8997, 90.4054"
"23.7385, 90.4053","23.7655, 90.4255"
"23.7385, 90.4053","23.7642, 90.4206"
"23.7385, 90.4053","23.7391, 90.4092"
"23.7385, 90.4053","23.7271, 90.3841"
"23.7385, 90.4053","23.7363, 90.3791"
"23.7385, 90.4053","23.7664, 90.4071"
"23.7385, 90.4053","23.7689, 90.4283"
"23.7385, 90.4053","23.7451, 90.3676"
"23.7385, 90.4053","23.7304, 90.4226"
"23.7385, 90.4053","23.7527, 90.4271"
"23.7385, 90.4053","23.7409, 90.4116"
"23.7385, 90.4053","23.7163, 90.4162"
"23.7385, 90.4053","23.8288, 90.4269"
"23.7385, 90.4053","23.8712, 90.379"
"23.7385, 90.4053","23.7045, 90.4042"
"23.7385, 90.4053","23.7681, 90.3526"
"23.7385, 90.4053","23.7786, 90.4265"
"23.7385, 90.4053","23.8125, 90.4341"
"23.7271, 90.3841","23.7806365, 90.4193257"
"23.7271, 90.3841","23.7915995, 90.4167872"
"23.7271, 90.3841","23.793584, 90.404194"
"23.7271, 90.3841","23.810331, 90.426283"
"23.7271, 90.3841","23.875854, 90.379249"
"23.7271, 90.3841","23.803072, 90.353491"
"23.7271, 90.3841","23.824086, 90.365407"
"23.7271, 90.3841","23.750942, 90.367135"
"23.7271, 90.3841","23.751634, 90.367504"
"23.7271, 90.3841","23.733664, 90.416993"
"23.7271, 90.3841","23.7361, 90.4115"
"23.7271, 90.3841","23.7604, 90.3919"
"23.7271, 90.3841","23.7381, 90.3947"
"23.7271, 90.3841","23.765, 90.3587"
"23.7271, 90.3841","23.7277, 90.3975"
"23.7271, 90.3841","23.7181, 90.3884"
"23.7271, 90.3841","23.7111, 90.4025"
"23.7271, 90.3841","23.7041, 90.4074"
"23.7271, 90.3841","23.7764, 90.3651"
"23.7271, 90.3841","23.7831, 90.3612"
"23.7271, 90.3841","23.7644, 90.3958"
"23.7271, 90.3841","23.8191, 90.4527"
"23.7271, 90.3841","23.8216, 90.4296"
"23.7271, 90.3841","23.8493, 90.3978"
"23.7271, 90.3841","23.7113, 90.4457"
"23.7271, 90.3841","23.6851, 90.3467"
"23.7271, 90.3841","23.8038, 90.3421"
"23.7271, 90.3841","23.838, 90.2625"
"23.7271, 90.3841","23.7778, 90.3982"
"23.7271, 90.3841","23.8327, 90.3662"
"23.7271, 90.3841","23.6238, 90.499"
"23.7271, 90.3841","23.7256, 90.4756"
"23.7271, 90.3841","23.8997, 90.4054"
"23.7271, 90.3841","23.7655, 90.4255"
"23.7271, 90.3841","23.7642, 90.4206"
"23.7271, 90.3841","23.7391, 90.4092"
"23.7271, 90.3841","23.7385, 90.4053"
"23.7271, 90.3841","23.7363, 90.3791"
"23.7271, 90.3841","23.7664, 90.4071"
"23.7271, 90.3841","23.7689, 90.4283"
"23.7271, 90.3841","23.7451, 90.3676"
"23.7271, 90.3841","23.7304, 90.4226"
"23.7271, 90.3841","23.7527, 90.4271"
"23.7271, 90.3841","23.7409, 90.4116"
"23.7271, 90.3841","23.7163, 90.4162"
"23.7271, 90.3841","23.8288, 90.4269"
"23.7271, 90.3841","23.8712, 90.379"
"23.7271, 90.3841","23.7045, 90.4042"
"23.7271, 90.3841","23.7681, 90.3526"
"23.7271, 90.3841","23.7786, 90.4265"
"23.7271, 90.3841","23.8125, 90.4341"
"23.7363, 90.3791","23.7806365, 90.4193257"
"23.7363, 90.3791","23.7915995, 90.4167872"
"23.7363, 90.3791","23.793584, 90.404194"
"23.7363, 90.3791","23.810331, 90.426283"
"23.7363, 90.3791","23.875854, 90.379249"
"23.7363, 90.3791","23.803072, 90.353491"
"23.7363, 90.3791","23.824086, 90.365407"
"23.7363, 90.3791","23.750942, 90.367135"
"23.7363, 90.3791","23.751634, 90.367504"
"23.7363, 90.3791","23.733664, 90.416993"
"23.7363, 90.3791","23.7361, 90.4115"
"23.7363, 90.3791","23.7604, 90.3919"
"23.7363, 90.3791","23.7381, 90.3947"
"23.7363, 90.3791","23.765, 90.3587"
"23.7363, 90.3791","23.7277, 90.3975"
"23.7363, 90.3791","23.7181, 90.3884"
"23.7363, 90.3791","23.7111, 90.4025"
"23.7363, 90.3791","23.7041, 90.4074"
"23.7363, 90.3791","23.7764, 90.3651"
"23.7363, 90.3791","23.7831, 90.3612"
"23.7363, 90.3791","23.7644, 90.3958"
"23.7363, 90.3791","23.8191, 90.4527"
"23.7363, 90.3791","23.8216, 90.4296"
"23.7363, 90.3791","23.8493, 90.3978"
"23.7363, 90.3791","23.7113, 90.4457"
"23.7363, 90.3791","23.6851, 90.3467"
"23.7363, 90.3791","23.8038, 90.3421"
"23.7363, 90.3791","23.838, 90.2625"
"23.7363, 90.3791","23.7778, 90.3982"
"23.7363, 90.3791","23.8327, 90.3662"
"23.7363, 90.3791","23.6238, 90.499"
"23.7363, 90.3791","23.7256, 90.4756"
"23.7363, 90.3791","23.8997, 90.4054"
"23.7363, 90.3791","23.7655, 90.4255"
"23.7363, 90.3791","23.7642, 90.4206"
"23.7363, 90.3791","23.7391, 90.4092"
"23.7363, 90.3791","23.7385, 90.4053"
"23.7363, 90.3791","23.7271, 90.3841"
"23.7363, 90.3791","23.7664, 90.4071"
"23.7363, 90.3791","23.7689, 90.4283"
"23.7363, 90.3791","23.7451, 90.3676"
"23.7363, 90.3791","23.7304, 90.4226"
"23.7363, 90.3791","23.7527, 90.4271"
"23.7363, 90.3791","23.7409, 90.4116"
"23.7363, 90.3791","23.7163, 90.4162"
"23.7363, 90.3791","23.8288, 90.4269"
"23.7363, 90.3791","23.8712, 90.379"
"23.7363, 90.3791","23.7045, 90.4042"
"23.7363, 90.3791","23.7681, 90.3526"
"23.7363, 90.3791","23.7786, 90.4265"
"23.7363, 90.3791","23.8125, 90.4341"
"23.7664, 90.4071","23.7806365, 90.4193257"
"23.7664, 90.4071","23.7915995, 90.4167872"
"23.7664, 90.4071","23.793584, 90.404194"
"23.7664, 90.4071","23.810331, 90.426283"
"23.7664, 90.4071","23.875854, 90.379249"
"23.7664, 90.4071","23.803072, 90.353491"
"23.7664, 90.4071","23.824086, 90.365407"
"23.7664, 90.4071","23.750942, 90.367135"
"23.7664, 90.4071","23.751634, 90.367504"
"23.7664, 90.4071","23.733664, 90.416993"
"23.7664, 90.4071","23.7361, 90.4115"
"23.7664, 90.4071","23.7604, 90.3919"
"23.7664, 90.4071","23.7381, 90.3947"
"23.7664, 90.4071","23.765, 90.3587"
"23.7664, 90.4071","23.7277, 90.3975"
"23.7664, 90.4071","23.7181, 90.3884"
"23.7664, 90.4071","23.7111, 90.4025"
"23.7664, 90.4071","23.7041, 90.4074"
"23.7664, 90.4071","23.7764, 90.3651"
"23.7664, 90.4071","23.7831, 90.3612"
"23.7664, 90.4071","23.7644, 90.3958"
"23.7664, 90.4071","23.8191, 90.4527"
"23.7664, 90.4071","23.8216, 90.4296"
"23.7664, 90.4071","23.8493, 90.3978"
"23.7664, 90.4071","23.7113, 90.4457"
"23.7664, 90.4071","23.6851, 90.3467"
"23.7664, 90.4071","23.8038, 90.3421"
"23.7664, 90.4071","23.838, 90.2625"
"23.7664, 90.4071","23.7778, 90.3982"
"23.7664, 90.4071","23.8327, 90.3662"
"23.7664, 90.4071","23.6238, 90.499"
"23.7664, 90.4071","23.7256, 90.4756"
"23.7664, 90.4071","23.8997, 90.4054"
"23.7664, 90.4071","23.7655, 90.4255"
"23.7664, 90.4071","23.7642, 90.4206"
"23.7664, 90.4071","23.7391, 90.4092"
"23.7664, 90.4071","23.7385, 90.4053"
"23.7664, 90.4071","23.7271, 90.3841"
"23.7664, 90.4071","23.7363, 90.3791"
"23.7664, 90.4071","23.7689, 90.4283"
"23.7664, 90.4071","23.7451, 90.3676"
"23.7664, 90.4071","23.7304, 90.4226"
"23.7664, 90.4071","23.7527, 90.4271"
"23.7664, 90.4071","23.7409, 90.4116"
"23.7664, 90.4071","23.7163, 90.4162"
"23.7664, 90.4071","23.8288, 90.4269"
"23.7664, 90.4071","23.8712, 90.379"
"23.7664, 90.4071","23.7045, 90.4042"
"23.7664, 90.4071","23.7681, 90.3526"
"23.7664, 90.4071","23.7786, 90.4265"
"23.7664, 90.4071","23.8125, 90.4341"
"23.7689, 90.4283","23.7806365, 90.4193257"
"23.7689, 90.4283","23.7915995, 90.4167872"
"23.7689, 90.4283","23.793584, 90.404194"
"23.7689, 90.4283","23.810331, 90.426283"
"23.7689, 90.4283","23.875854, 90.379249"
"23.7689, 90.4283","23.803072, 90.353491"
"23.7689, 90.4283","23.824086, 90.365407"
"23.7689, 90.4283","23.750942, 90.367135"
"23.7689, 90.4283","23.751634, 90.367504"
"23.7689, 90.4283","23.733664, 90.416993"
"23.7689, 90.4283","23.7361, 90.4115"
"23.7689, 90.4283","23.7604, 90.3919"
"23.7689, 90.4283","23.7381, 90.3947"
"23.7689, 90.4283","23.765, 90.3587"
"23.7689, 90.4283","23.7277, 90.3975"
"23.7689, 90.4283","23.7181, 90.3884"
"23.7689, 90.4283","23.7111, 90.4025"
"23.7689, 90.4283","23.7041, 90.4074"
"23.7689, 90.4283","23.7764, 90.3651"
"23.7689, 90.4283","23.7831, 90.3612"
"23.7689, 90.4283","23.7644, 90.3958"
"23.7689, 90.4283","23.8191, 90.4527"
"23.7689, 90.4283","23.8216, 90.4296"
"23.7689, 90.4283","23.8493, 90.3978"
"23.7689, 90.4283","23.7113, 90.4457"
"23.7689, 90.4283","23.6851, 90.3467"
"23.7689, 90.4283","23.8038, 90.3421"
"23.7689, 90.4283","23.838, 90.2625"
"23.7689, 90.4283","23.7778, 90.3982"
"23.7689, 90.4283","23.8327, 90.3662"
"23.7689, 90.4283","23.6238, 90.499"
"23.7689, 90.4283","23.7256, 90.4756"
"23.7689, 90.4283","23.8997, 90.4054"
"23.7689, 90.4283","23.7655, 90.4255"
"23.7689, 90.4283","23.7642, 90.4206"
"23.7689, 90.4283","23.7391, 90.4092"
"23.7689, 90.4283","23.7385, 90.4053"
"23.7689, 90.4283","23.7271, 90.3841"
"23.7689, 90.4283","23.7363, 90.3791"
"23.7689, 90.4283","23.7664, 90.4071"
"23.7689, 90.4283","23.7451, 90.3676"
"23.7689, 90.4283","23.7304, 90.4226"
"23.7689, 90.4283","23.7527, 90.4271"
"23.7689, 90.4283","23.7409, 90.4116"
"23.7689, 90.4283","23.7163, 90.4162"
"23.7689, 90.4283","23.8288, 90.4269"
"23.7689, 90.4283","23.8712, 90.379"
"23.7689, 90.4283","23.7045, 90.4042"
"23.7689, 90.4283","23.7681, 90.3526"
"23.7689, 90.4283","23.7786, 90.4265"
"23.7689, 90.4283","23.8125, 90.4341"
"23.7451, 90.3676","23.7806365, 90.4193257"
"23.7451, 90.3676","23.7915995, 90.4167872"
"23.7451, 90.3676","23.793584, 90.404194"
"23.7451, 90.3676","23.810331, 90.426283"
"23.7451, 90.3676","23.875854, 90.379249"
"23.7451, 90.3676","23.803072, 90.353491"
"23.7451, 90.3676","23.824086, 90.365407"
"23.7451, 90.3676","23.750942, 90.367135"
"23.7451, 90.3676","23.751634, 90.367504"
"23.7451, 90.3676","23.733664, 90.416993"
"23.7451, 90.3676","23.7361, 90.4115"
"23.7451, 90.3676","23.7604, 90.3919"
"23.7451, 90.3676","23.7381, 90.3947"
"23.7451, 90.3676","23.765, 90.3587"
"23.7451, 90.3676","23.7277, 90.3975"
"23.7451, 90.3676","23.7181, 90.3884"
"23.7451, 90.3676","23.7111, 90.4025"
"23.7451, 90.3676","23.7041, 90.4074"
"23.7451, 90.3676","23.7764, 90.3651"
"23.7451, 90.3676","23.7831, 90.3612"
"23.7451, 90.3676","23.7644, 90.3958"
"23.7451, 90.3676","23.8191, 90.4527"
"23.7451, 90.3676","23.8216, 90.4296"
"23.7451, 90.3676","23.8493, 90.3978"
"23.7451, 90.3676","23.7113, 90.4457"
"23.7451, 90.3676","23.6851, 90.3467"
"23.7451, 90.3676","23.8038, 90.3421"
"23.7451, 90.3676","23.838, 90.2625"
"23.7451, 90.3676","23.7778, 90.3982"
"23.7451, 90.3676","23.8327, 90.3662"
"23.7451, 90.3676","23.6238, 90.499"
"23.7451, 90.3676","23.7256, 90.4756"
"23.7451, 90.3676","23.8997, 90.4054"
"23.7451, 90.3676","23.7655, 90.4255"
"23.7451, 90.3676","23.7642, 90.4206"
"23.7451, 90.3676","23.7391, 90.4092"
"23.7451, 90.3676","23.7385, 90.4053"
"23.7451, 90.3676","23.7271, 90.3841"
"23.7451, 90.3676","23.7363, 90.3791"
"23.7451, 90.3676","23.7664, 90.4071"
"23.7451, 90.3676","23.7689, 90.4283"
"23.7451, 90.3676","23.7304, 90.4226"
"23.7451, 90.3676","23.7527, 90.4271"
"23.7451, 90.3676","23.7409, 90.4116"
"23.7451, 90.3676","23.7163, 90.4162"
"23.7451, 90.3676","23.8288, 90.4269"
"23.7451, 90.3676","23.8712, 90.379"
"23.7451, 90.3676","23.7045, 90.4042"
"23.7451, 90.3676","23.7681, 90.3526"
"23.7451, 90.3676","23.7786, 90.4265"
"23.7451, 90.3676","23.8125, 90.4341"
"23.7304, 90.4226","23.7806365, 90.4193257"
"23.7304, 90.4226","23.7915995, 90.4167872"
"23.7304, 90.4226","23.793584, 90.404194"
"23.7304, 90.4226","23.810331, 90.426283"
"23.7304, 90.4226","23.875854, 90.379249"
"23.7304, 90.4226","23.803072, 90.353491"
"23.7304, 90.4226","23.824086, 90.365407"
"23.7304, 90.4226","23.750942, 90.367135"
"23.7304, 90.4226","23.751634, 90.367504"
"23.7304, 90.4226","23.733664, 90.416993"
"23.7304, 90.4226","23.7361, 90.4115"
"23.7304, 90.4226","23.7604, 90.3919"
"23.7304, 90.4226","23.7381, 90.3947"
"23.7304, 90.4226","23.765, 90.3587"
"23.7304, 90.4226","23.7277, 90.3975"
"23.7304, 90.4226","23.7181, 90.3884"
"23.7304, 90.4226","23.7111, 90.4025"
"23.7304, 90.4226","23.7041, 90.4074"
"23.7304, 90.4226","23.7764, 90.3651"
"23.7304, 90.4226","23.7831, 90.3612"
"23.7304, 90.4226","23.7644, 90.3958"
"23.7304, 90.4226","23.8191, 90.4527"
"23.7304, 90.4226","23.8216, 90.4296"
"23.7304, 90.4226","23.8493, 90.3978"
"23.7304, 90.4226","23.7113, 90.4457"
"23.7304, 90.4226","23.6851, 90.3467"
"23.7304, 90.4226","23.8038, 90.3421"
"23.7304, 90.4226","23.838, 90.2625"
"23.7304, 90.4226","23.7778, 90.3982"
"23.7304, 90.4226","23.8327, 90.3662"
"23.7304, 90.4226","23.6238, 90.499"
"23.7304, 90.4226","23.7256, 90.4756"
"23.7304, 90.4226","23.8997, 90.4054"
"23.7304, 90.4226","23.7655, 90.4255"
"23.7304, 90.4226","23.7642, 90.4206"
"23.7304, 90.4226","23.7391, 90.4092"
"23.7304, 90.4226","23.7385, 90.4053"
"23.7304, 90.4226","23.7271, 90.3841"
"23.7304, 90.4226","23.7363, 90.3791"
"23.7304, 90.4226","23.7664, 90.4071"
"23.7304, 90.4226","23.7689, 90.4283"
"23.7304, 90.4226","23.7451, 90.3676"
"23.7304, 90.4226","23.7527, 90.4271"
"23.7304, 90.4226","23.7409, 90.4116"
"23.7304, 90.4226","23.7163, 90.4162"
"23.7304, 90.4226","23.8288, 90.4269"
"23.7304, 90.4226","23.8712, 90.379"
"23.7304, 90.4226","23.7045, 90.4042"
"23.7304, 90.4226","23.7681, 90.3526"
"23.7304, 90.4226","23.7786, 90.4265"
"23.7304, 90.4226","23.8125, 90.4341"
"23.7527, 90.4271","23.7806365, 90.4193257"
"23.7527, 90.4271","23.7915995, 90.4167872"
"23.7527, 90.4271","23.793584, 90.404194"
"23.7527, 90.4271","23.810331, 90.426283"
"23.7527, 90.4271","23.875854, 90.379249"
"23.7527, 90.4271","23.803072, 90.353491"
"23.7527, 90.4271","23.824086, 90.365407"
"23.7527, 90.4271","23.750942, 90.367135"
"23.7527, 90.4271","23.751634, 90.367504"
"23.7527, 90.4271","23.733664, 90.416993"
"23.7527, 90.4271","23.7361, 90.4115"
"23.7527, 90.4271","23.7604, 90.3919"
"23.7527, 90.4271","23.7381, 90.3947"
"23.7527, 90.4271","23.765, 90.3587"
"23.7527, 90.4271","23.7277, 90.3975"
"23.7527, 90.4271","23.7181, 90.3884"
"23.7527, 90.4271","23.7111, 90.4025"
"23.7527, 90.4271","23.7041, 90.4074"
"23.7527, 90.4271","23.7764, 90.3651"
"23.7527, 90.4271","23.7831, 90.3612"
"23.7527, 90.4271","23.7644, 90.3958"
"23.7527, 90.4271","23.8191, 90.4527"
"23.7527, 90.4271","23.8216, 90.4296"
"23.7527, 90.4271","23.8493, 90.3978"
"23.7527, 90.4271","23.7113, 90.4457"
"23.7527, 90.4271","23.6851, 90.3467"
"23.7527, 90.4271","23.8038, 90.3421"
"23.7527, 90.4271","23.838, 90.2625"
"23.7527, 90.4271","23.7778, 90.3982"
"23.7527, 90.4271","23.8327, 90.3662"
"23.7527, 90.4271","23.6238, 90.499"
"23.7527, 90.4271","23.7256, 90.4756"
"23.7527, 90.4271","23.8997, 90.4054"
"23.7527, 90.4271","23.7655, 90.4255"
"23.7527, 90.4271","23.7642, 90.4206"
"23.7527, 90.4271","23.7391, 90.4092"
"23.7527, 90.4271","23.7385, 90.4053"
"23.7527, 90.4271","23.7271, 90.3841"
"23.7527, 90.4271","23.7363, 90.3791"
"23.7527, 90.4271","23.7664, 90.4071"
"23.7527, 90.4271","23.7689, 90.4283"
"23.7527, 90.4271","23.7451, 90.3676"
"23.7527, 90.4271","23.7304, 90.4226"
"23.7527, 90.4271","23.7409, 90.4116"
"23.7527, 90.4271","23.7163, 90.4162"
"23.7527, 90.4271","23.8288, 90.4269"
"23.7527, 90.4271","23.8712, 90.379"
"23.7527, 90.4271","23.7045, 90.4042"
"23.7527, 90.4271","23.7681, 90.3526"
"23.7527, 90.4271","23.7786, 90.4265"
"23.7527, 90.4271","23.8125, 90.4341"
"23.7409, 90.4116","23.7806365, 90.4193257"
"23.7409, 90.4116","23.7915995, 90.4167872"
"23.7409, 90.4116","23.793584, 90.404194"
"23.7409, 90.4116","23.810331, 90.426283"
"23.7409, 90.4116","23.875854, 90.379249"
"23.7409, 90.4116","23.803072, 90.353491"
"23.7409, 90.4116","23.824086, 90.365407"
"23.7409, 90.4116","23.750942, 90.367135"
"23.7409, 90.4116","23.751634, 90.367504"
"23.7409, 90.4116","23.733664, 90.416993"
"23.7409, 90.4116","23.7361, 90.4115"
"23.7409, 90.4116","23.7604, 90.3919"
"23.7409, 90.4116","23.7381, 90.3947"
"23.7409, 90.4116","23.765, 90.3587"
"23.7409, 90.4116","23.7277, 90.3975"
"23.7409, 90.4116","23.7181, 90.3884"
"23.7409, 90.4116","23.7111, 90.4025"
"23.7409, 90.4116","23.7041, 90.4074"
"23.7409, 90.4116","23.7764, 90.3651"
"23.7409, 90.4116","23.7831, 90.3612"
"23.7409, 90.4116","23.7644, 90.3958"
"23.7409, 90.4116","23.8191, 90.4527"
"23.7409, 90.4116","23.8216, 90.4296"
"23.7409, 90.4116","23.8493, 90.3978"
"23.7409, 90.4116","23.7113, 90.4457"
"23.7409, 90.4116","23.6851, 90.3467"
"23.7409, 90.4116","23.8038, 90.3421"
"23.7409, 90.4116","23.838, 90.2625"
"23.7409, 90.4116","23.7778, 90.3982"
"23.7409, 90.4116","23.8327, 90.3662"
"23.7409, 90.4116","23.6238, 90.499"
"23.7409, 90.4116","23.7256, 90.4756"
"23.7409, 90.4116","23.8997, 90.4054"
"23.7409, 90.4116","23.7655, 90.4255"
"23.7409, 90.4116","23.7642, 90.4206"
"23.7409, 90.4116","23.7391, 90.4092"
"23.7409, 90.4116","23.7385, 90.4053"
"23.7409, 90.4116","23.7271, 90.3841"
"23.7409, 90.4116","23.7363, 90.3791"
"23.7409, 90.4116","23.7664, 90.4071"
"23.7409, 90.4116","23.7689, 90.4283"
"23.7409, 90.4116","23.7451, 90.3676"
"23.7409, 90.4116","23.7304, 90.4226"
"23.7409, 90.4116","23.7527, 90.4271"
"23.7409, 90.4116","23.7163, 90.4162"
"23.7409, 90.4116","23.8288, 90.4269"
"23.7409, 90.4116","23.8712, 90.379"
"23.7409, 90.4116","23.7045, 90.4042"
"23.7409, 90.4116","23.7681, 90.3526"
"23.7409, 90.4116","23.7786, 90.4265"
"23.7409, 90.4116","23.8125, 90.4341"
"23.7163, 90.4162","23.7806365, 90.4193257"
"23.7163, 90.4162","23.7915995, 90.4167872"
"23.7163, 90.4162","23.793584, 90.404194"
"23.7163, 90.4162","23.810331, 90.426283"
"23.7163, 90.4162","23.875854, 90.379249"
"23.7163, 90.4162","23.803072, 90.353491"
"23.7163, 90.4162","23.824086, 90.365407"
"23.7163, 90.4162","23.750942, 90.367135"
"23.7163, 90.4162","23.751634, 90.367504"
"23.7163, 90.4162","23.733664, 90.416993"
"23.7163, 90.4162","23.7361, 90.4115"
"23.7163, 90.4162","23.7604, 90.3919"
"23.7163, 90.4162","23.7381, 90.3947"
"23.7163, 90.4162","23.765, 90.3587"
"23.7163, 90.4162","23.7277, 90.3975"
"23.7163, 90.4162","23.7181, 90.3884"
"23.7163, 90.4162","23.7111, 90.4025"
"23.7163, 90.4162","23.7041, 90.4074"
"23.7163, 90.4162","23.7764, 90.3651"
"23.7163, 90.4162","23.7831, 90.3612"
"23.7163, 90.4162","23.7644, 90.3958"
"23.7163, 90.4162","23.8191, 90.4527"
"23.7163, 90.4162","23.8216, 90.4296"
"23.7163, 90.4162","23.8493, 90.3978"
"23.7163, 90.4162","23.7113, 90.4457"
"23.7163, 90.4162","23.6851, 90.3467"
"23.7163, 90.4162","23.8038, 90.3421"
"23.7163, 90.4162","23.838, 90.2625"
